text,sentiment
Kampanye berjalan tanpa banyak kejutan.,neutral
Janji kampanye calon ini terasa sulit untuk diwujudkan.,negative
Program kerja yang ditawarkan terlalu ambisius dan kurang realistis.,negative
Ada banyak kritik terhadap kinerja calon ini di masa lalu.,negative
Pendukungnya tidak terlalu ramai dibandingkan calon lain.,neutral
Kampanye yang dilakukan terlihat kurang profesional.,negative
Pendukungnya sering kali membuat keributan di media sosial.,negative
Belum ada langkah konkret yang terlihat sejauh ini.,neutral
Calon ini tidak memiliki kredibilitas sama sekali di mata rakyat.,very negative
Visi dan misinya selaras dengan harapan rakyat untuk masa depan.,very positive
Calon ini tidak memiliki kredibilitas sama sekali di mata rakyat.,very negative
Kampanye yang dilakukan sangat kreatif dan menyatukan masyarakat.,very positive
Pendukungnya sering kali membuat keributan di media sosial.,negative
Rakyat kehilangan kepercayaan pada kepemimpinannya.,very negative
Calon ini tidak memiliki kredibilitas sama sekali di mata rakyat.,very negative
Calon ini tidak memiliki kredibilitas sama sekali di mata rakyat.,very negative
Program kerjanya cukup baik dan realistis.,positive
Kampanye penuh dengan janji palsu dan pencitraan belaka.,very negative
Ada banyak kritik terhadap kinerja calon ini di masa lalu.,negative
Kinerjanya cukup baik dibandingkan calon lain.,positive
Belum ada langkah konkret yang terlihat sejauh ini.,neutral
Kampanye yang dilakukan sangat kreatif dan menyatukan masyarakat.,very positive
Pemimpin ini terlihat memiliki komitmen yang cukup tinggi untuk rakyat.,positive
Kampanye berjalan tanpa banyak kejutan.,neutral
Program kerjanya cukup baik dan realistis.,positive
Kampanyenya berjalan lancar dan mendapat sambutan positif dari masyarakat.,positive
Visi dan misinya selaras dengan harapan rakyat untuk masa depan.,very positive
Calon ini tidak memiliki kredibilitas sama sekali di mata rakyat.,very negative
Rakyat kehilangan kepercayaan pada kepemimpinannya.,very negative
Calon ini tidak memiliki kredibilitas sama sekali di mata rakyat.,very negative
Kampanyenya berjalan lancar dan mendapat sambutan positif dari masyarakat.,positive
Visi dan misinya selaras dengan harapan rakyat untuk masa depan.,very positive
Kampanye yang dilakukan terlihat kurang profesional.,negative
Pendukungnya tidak terlalu ramai dibandingkan calon lain.,neutral
Kinerjanya cukup baik dibandingkan calon lain.,positive
Program kerja yang ditawarkan sangat menjanjikan dan menyentuh kebutuhan masyarakat.,very positive
Program kerja yang ditawarkan terlalu ambisius dan kurang realistis.,negative
Pendukungnya tidak terlalu ramai dibandingkan calon lain.,neutral
Banyak skandal yang mencoreng nama baik calon ini.,very negative
Calon pemimpin ini sangat inspiratif dan mampu membawa perubahan besar.,very positive
Rakyat merasa cukup puas dengan janji-janji yang disampaikan.,positive
Calon ini dikenal sebagai sosok yang sangat jujur dan terpercaya.,very positive
Kampanyenya berjalan lancar dan mendapat sambutan positif dari masyarakat.,positive
Banyak skandal yang mencoreng nama baik calon ini.,very negative
Program kerjanya cukup baik dan realistis.,positive
Pemimpin ini terlihat memiliki komitmen yang cukup tinggi untuk rakyat.,positive
Calon ini tidak memiliki kredibilitas sama sekali di mata rakyat.,very negative
Program kerja yang ditawarkan terlalu ambisius dan kurang realistis.,negative
Pendukungnya tidak terlalu ramai dibandingkan calon lain.,neutral
Rakyat kehilangan kepercayaan pada kepemimpinannya.,very negative
Kampanye berjalan tanpa banyak kejutan.,neutral
Rakyat kehilangan kepercayaan pada kepemimpinannya.,very negative
Program kerjanya cukup baik dan realistis.,positive
Program kerja yang disampaikan cukup standar.,neutral
Calon ini dikenal sebagai sosok yang sangat jujur dan terpercaya.,very positive
Calon ini dikenal sebagai sosok yang sangat jujur dan terpercaya.,very positive
Program kerja yang ditawarkan terlalu ambisius dan kurang realistis.,negative
Calon ini dikenal sebagai sosok yang sangat jujur dan terpercaya.,very positive
Rakyat merasa cukup puas dengan janji-janji yang disampaikan.,positive
Program kerja yang ditawarkan sama sekali tidak masuk akal.,very negative
Kampanyenya berjalan lancar dan mendapat sambutan positif dari masyarakat.,positive
Kampanye yang dilakukan sangat kreatif dan menyatukan masyarakat.,very positive
Calon ini terlihat biasa saja, tidak ada yang terlalu menonjol.,neutral
Rakyat merasa cukup puas dengan janji-janji yang disampaikan.,positive
Kampanye yang dilakukan terlihat kurang profesional.,negative
Kampanye yang dilakukan terlihat kurang profesional.,negative
Kampanye yang dilakukan terlihat kurang profesional.,negative
Calon ini tidak memiliki kredibilitas sama sekali di mata rakyat.,very negative
Program kerja yang ditawarkan sangat menjanjikan dan menyentuh kebutuhan masyarakat.,very positive
Belum ada langkah konkret yang terlihat sejauh ini.,neutral
Calon pemimpin ini sangat inspiratif dan mampu membawa perubahan besar.,very positive
Program kerja yang disampaikan cukup standar.,neutral
Calon ini terlihat biasa saja, tidak ada yang terlalu menonjol.,neutral
Program kerja yang ditawarkan terlalu ambisius dan kurang realistis.,negative
Kinerjanya cukup baik dibandingkan calon lain.,positive
Kampanyenya berjalan lancar dan mendapat sambutan positif dari masyarakat.,positive
Kampanye yang dilakukan terlihat kurang profesional.,negative
Program kerja yang ditawarkan sangat menjanjikan dan menyentuh kebutuhan masyarakat.,very positive
Calon ini terlihat biasa saja, tidak ada yang terlalu menonjol.,neutral
Rakyat merasa cukup puas dengan janji-janji yang disampaikan.,positive
Ada banyak kritik terhadap kinerja calon ini di masa lalu.,negative
Visi dan misinya selaras dengan harapan rakyat untuk masa depan.,very positive
Rakyat merasa cukup puas dengan janji-janji yang disampaikan.,positive
Calon ini dikenal sebagai sosok yang sangat jujur dan terpercaya.,very positive
Pemimpin ini terlihat memiliki komitmen yang cukup tinggi untuk rakyat.,positive
Kampanye berjalan tanpa banyak kejutan.,neutral
Banyak skandal yang mencoreng nama baik calon ini.,very negative
Kampanye yang dilakukan terlihat kurang profesional.,negative
Program kerja yang ditawarkan terlalu ambisius dan kurang realistis.,negative
Program kerjanya cukup baik dan realistis.,positive
Kinerjanya cukup baik dibandingkan calon lain.,positive
Program kerja yang disampaikan cukup standar.,neutral
Pendukungnya tidak terlalu ramai dibandingkan calon lain.,neutral
Pemimpin ini terlihat memiliki komitmen yang cukup tinggi untuk rakyat.,positive
Ada banyak kritik terhadap kinerja calon ini di masa lalu.,negative
Program kerja yang disampaikan cukup standar.,neutral
Program kerja yang ditawarkan terlalu ambisius dan kurang realistis.,negative
Kampanye yang dilakukan sangat kreatif dan menyatukan masyarakat.,very positive
Calon ini dikenal sebagai sosok yang sangat jujur dan terpercaya.,very positive
Program kerja yang ditawarkan sama sekali tidak masuk akal.,very negative
Pendukungnya sering kali membuat keributan di media sosial.,negative
Rakyat merasa cukup puas dengan janji-janji yang disampaikan.,positive
Rakyat kehilangan kepercayaan pada kepemimpinannya.,very negative
Program kerjanya cukup baik dan realistis.,positive
Kampanye yang dilakukan terlihat kurang profesional.,negative
Pendukungnya sering kali membuat keributan di media sosial.,negative
